Key,Subkey,Type,Example Value,Description,Condition
,DATA_FORMAT,List( DATA_FORMAT),"{application/zip, image/jpg}",supported format/encoding of the data produced or consumed by the data resource as a MIME type (IETF RFC 6838 https://www.sitepoint.com/mime-types-complete-list/). More than one can appear here (remote directory with several files),optional
,DATA_SOURCE_TYPE,List( DATA_SOURCE_TYPE),"{MYSQL, KAFKA}",supported exact type of the data resource. Typically corresponds to the scheme part (protocol://) of DATA_URI.,optional
,DATA_PROTOCOL,List( DATA_PROTOCOL),{HTTP},supported protocols,optional
,DATA_AUTH_TYPE,List( DATA_AUTH_TYPE),"{tls_mutual, userpass}",supported authentication type,optional
,DATA_MYSQL_DIALECT,List( DATA_MYSQL_DIALECT),{mariadbdialect},"supported MYSQL dialect, for each generated output",optional
,DATA_MQTT_PROTOCOL_VERSION,List( DATA_MQTT_PROTOCOL_VERSION),{2.3.1},supported MQTT protocol version,optional
,DATA_KAFKA_BROKER_VERSION,List( DATA_KAFKA_BROKER_VERSION),"{2.7.1, 2.5}",supported Kafka broker version,optional
,DATA_S3_REGION,List( DATA_S3_REGION),{eu-central-1},supported S3 region,optional
,DATA_SCHEMA,List( DATA_SCHEMA),{jpg},"supported internal message structure, semantics, ontology.
It can be any file (doc, rdf, owl, etc.). Asset Administration Shell, IEC 61360 - Common Data Dictionary, …",optional
,,,,,
model_types,,List( ModelTypes),{SavedModel (Tensorflow)},list of supported Model types,optional
model_recommendedAuthTools,,List (AuthTools),{PreSTRA},list of recommended AuthoringTools used to generate the Model,optional
,,,,,
parameters,,List( Parameter),,"list of Parameter objects for each possible parameters, to be specified before deployment",optional
Parameter Fields,name,String,detection_threshold,short name for this parameter (should be unique across the Microservice’s parameters),mandatory
,type,Enumeration (xsd datatypes),Integer,expected input type (may be used to verify the input),mandatory
,mandatory,Boolean,true,whether this parameter is mandatory (default: false),optional
,defaultValue,"has to match ""type""",42,"a default value, if the parameter is required but not provided",optional
,description,String,"This parameter can be used to configure the included algorithm in a certain way, possible values: ""A"", ""B"", ""Z""",short description of the parameter and its possible values,mandatory
,,,,,
metrics,,List( Metrics),,list of Metric objects for each metric collected by the Microservice,optional
Metric Fields,name,String,meanTemperature,short name (should be unique across the Microservice's metrics),mandatory
,correspondingMeasurement,String,temperature1,"identification of the corresponding measurement, i.e. output of the Model",mandatory
,function,String,arithmetic mean,short description of the mathematical approach used to derive this value,mandatory
,unit,String,degree celsius,the unit of the metric measurement,mandatory
,description,String,This metric describes the arithmetic mean of the approximated temperatures of the fabricated part when it leaves station 4.,short description of the metric measurement,mandatory
